SampleID;Line;Spot;SpotID;V;Mn;Fe;Cu;Zn;Ga;Rb;Sr;Y;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Th;U;ΣREY
PR003;L2;2;PR-3_Ap21;0.05843476677851935;0.09659351620403574;0.0015206869569158467;0.01532306736523075;1.20196542131624;2.993710937772105;0.005184938010103985;18.19559057097288;190.21025595379962;0.1373806078880209;128.81436712627658;0.6850588849878643;119.10490992457045;132.74296033475346;139.31031050775687;209.35552340990708;191.42771422548407;183.08483601827663;191.12101190733233;148.5405274763215;121.12907232003948;86.24658543676911;56.598716147597955;41.98365825590016;0.03169438457236485;0.00783759151415055;100.8803619643126;90.45774142197052
PR003;L2;3;PR-3_Ap22;0.05673141448484558;0.09575187764728062;0.0019973978809941064;0.02520453349381729;1.2759056723620286;3.0658716166006332;0.0060651448330471015;18.27811576632466;191.21728232592636;0.13363318636980892;131.38271066200068;0.723156898670198;122.41312864343767;136.3872419700825;148.05646500408736;220.15249173815013;195.3863667521726;191.41717614227588;196.99161363857985;153.83743658108403;124.96576582436794;88.525477247614;56.50270177182576;42.74849215937518;0.026421086169430397;0.010865637958090752;100.01386920458717;92.37677489089855
PR003;L2;5;PR-3_Ap24;0.08968310854755243;0.09608359017233946;0.01180195785827721;0.044574775722511555;0.8645818272880715;3.113289782548011;0.006278906799284024;18.130827286514403;193.85232693443268;0.12979024962795868;131.49114443321955;0.691634445651745;120.23653268780384;135.55575525360882;141.66387104007674;215.89620817765135;195.64422629975232;180.0065729026118;192.84440491546164;145.34132954795174;119.70844430189524;86.28596385185874;53.8526745081904;40.89706875096882;0.02978984099840056;0.016625344537318117;93.02341561180343;92.03205535868031
PR003;L2;6;PR-3_Ap25;0.055517874501483815;0.09688969662833562;0.0016637530959449371;0.016953072354174103;1.1326720881808963;3.085817298730657;0.005212079392733259;18.031849115115126;188.30930873592712;0.13258809078010622;130.80285341294754;0.7242846080535311;122.59613625680772;135.48537387840784;141.61533611881936;210.96355020973988;191.42197724958032;176.74985107543316;187.8866506064298;143.48782917643769;115.69399280739209;84.23988663938093;53.636419785857704;40.34658754471757;0.03273814793910833;0.0309117846984977;105.0033214499141;90.98692957421294
PR003;L2;7;PR-3_Ap26;0.0670816697630853;0.09948929453199762;0.004028307169930382;0.05764798653181848;1.357680277887008;3.2118711840766805;0.00587031969191138;17.69129030422084;194.012447435401;0.1358852208166888;135.47705206032126;0.740559195878922;126.5894791721222;141.54083039637848;149.92324448541254;219.39506047246627;200.1864168074333;188.2196214688903;199.717037454484;152.84622984430084;124.34806458559385;89.58790510709214;58.5126251867382;44.230143320865864;0.024237080248808964;0.03946269401538048;111.61301870298915;94.6631990063537
PR003;L2;8;PR-3_Ap27;0.06287914635028596;0.10042614552103543;0.001494673988940238;0.03820702868295738;1.3536254061095645;2.9529327213603462;0.005430052034250639;18.42791381837662;175.8891406942448;0.14846896127579579;121.96007720319164;0.6932715246855069;115.45443093169268;128.44269779108865;133.91092936775243;196.49559177384506;178.6198518888772;167.0317081341908;173.57581395384813;133.9640635768569;111.66346571456482;80.6906997152041;52.78471067163865;39.27152195181914;0.025260218245349002;0.04184968808690063;102.61290158561913;85.37770577786334
PR003;L2;9;PR-3_Ap28;0.06150937890944926;0.10396943417740792;0.0017684490559641032;0.039318457854543534;1.4406095547045832;3.006830073297059;0.00506347148953209;17.977231833070956;179.95557585846055;0.14512877474958263;126.22520003253669;0.7283680454946676;120.96485919009113;134.56208089563836;139.2618612706677;205.28657698461834;185.5403302576647;176.9058954545611;186.1878973591419;141.1726270206992;114.67836335567597;83.20818884237586;52.79728352722188;39.84868101914045;0.026675591763985308;0.06129674006261807;103.36275648094073;88.57789242571565
PR003;L2;10;PR-3_Ap29;0.06055172851522375;0.11167501368014589;0.0016535322385809916;0.03523106656589093;1.6015619430854304;3.317122280063574;0.005570379544973162;17.780946898142297;190.02241318480463;0.13940089453298785;134.91237868033727;0.7930509190553414;129.0862707400125;145.95818492953447;149.30521613493286;221.4800578437059;203.63431732076504;189.09150027358635;197.8367530213995;146.90294436153357;120.57680397298137;84.12018459536286;53.82156508641256;40.81079702114301;0.02818035704943032;0.09213266705450958;103.63423051845741;94.72201359655554
PR003;L2;11;PR-3_Ap30;0.06616613571523881;0.1258427136456551;0.002381730395090718;0.04084031739359126;1.4530379852033442;3.181497459875829;0.00579093671946294;17.540191345300638;191.28791714192582;0.1419336803141518;133.88482794446804;0.7866399849842113;129.46372622833914;140.13227514056499;147.63912509681964;217.0538035107677;199.68168836594018;188.27961657010746;193.90385764111517;149.72212495340546;120.46162747666601;86.4021263432793;55.68259332473771;41.30837882684269;0.029721618054334643;0.11233467155752129;108.28535264589482;93.62513547110721
PR003;L2;12;PR-3_Ap31;0.059834993998449576;0.12573930810687622;0.0014871429111180737;0.05441504728609865;1.482838196084355;3.1893702193479188;0.005493037325901453;17.411307395027105;185.09673407703173;0.12611819028507462;130.96303673088497;0.803906974739329;127.09172346015698;136.68127989589073;147.48266871619154;214.6083096747467;197.5325876030454;184.96141351397813;189.66360747551326;145.90488671801208;115.66734128846475;83.66829044400284;52.892624787870325;38.86287152863916;0.028303901887819293;0.13583921256995085;106.08261182804843;91.38271597417749
