SampleID;Line;Spot;SpotID;Ce/Ce*;Ce/Ce**;La/La*;Pr/Pr*;Eu/Eu*;LaN/SmN;LaN/NdN;LaN/DyN;LaN/YbN;NdN/DyN;NdN/YbN;GdN/DyN;GdN/YbN;DyN/SmN;DyN/YbN;Sr/Ba;Mn/U;Y/Ho;U/Th
PR003;L2;2;PR-3_Ap21;0.005526467269000321;0.006495489560817072;1.4027663908839558;1.7853058243848727;1.2820069701899783;0.9246578136017013;0.9704045080916556;0.6739937479440199;2.2759238352749005;0.6945492754041912;2.345335183727256;1.0016047545745543;3.3821918102573116;1.3719085917670868;3.3767729184691673;40.7527913777358;0.26312872912009283;34.5742471634299;2732.9572923213277
PR003;L2;3;PR-3_Ap22;0.005698729345991309;0.006668788872322137;1.3908097917224636;1.78561406944219;1.2943829650685874;0.8873824635646517;0.9633064556787533;0.6669457051255405;2.3252465199374366;0.6923504988405847;2.4138180599018715;0.9918511917499574;3.45800042520443;1.330516797312036;3.486410515980084;42.08562089392937;0.26309584801379915;33.560534662697584;1954.4017226919625
PR003;L2;5;PR-3_Ap24;0.005495100527378459;0.006592186216435646;1.4675664182089967;1.7649737430302694;1.29682670270308;0.9281911010042968;0.9700152102521589;0.6818509693909041;2.4416827137010846;0.702928121316422;2.51715920316998;1.0145185512927795;3.6329528307827497;1.3612814862365712;3.580962443863993;42.9825514948123;0.2838467099904969;36.011868361936585;1188.0383655277674
PR003;L2;6;PR-3_Ap25;0.005716554821291609;0.0066019969305840046;1.351022654787782;1.8001092964929977;1.2813163936889864;0.9236489281302145;0.9654389228045925;0.6961796007899629;2.438694714061364;0.7211016506021599;2.5259958516867904;1.0188162737040645;3.568880585501952;1.32673943201171;3.5029677848850347;41.845849303244826;0.253572109535449;35.43402506715837;721.2532697406523
PR003;L2;7;PR-3_Ap26;0.005651688465491788;0.006633568741180944;1.4011952476976053;1.7794242737563322;1.266412114593795;0.9036427441610171;0.9571588048545716;0.6783449914291704;2.315347356710752;0.7087068394384529;2.4189793218927136;1.0023502218885871;3.421251672926226;1.3321285711230482;3.413229825479606;40.05935234931536;0.24495619168373114;34.2719351736182;600.5331173507224
PR003;L2;8;PR-3_Ap27;0.005840178261487142;0.006765858085566252;1.3630190360084553;1.7881064670583573;1.2705154108352406;0.9107552145221784;0.9495290841800835;0.7026328981272671;2.3105190054346756;0.7399803858920122;2.433331473390101;1.0290595666535098;3.3839316274750386;1.296203489688031;3.288372934989124;38.19065803389332;0.26895012491942377;35.44985626701331;520.6172824842993
PR003;L2;9;PR-3_Ap28;0.005893182337390634;0.006783869539827769;1.346108993800681;1.7882246697654882;1.277101140951595;0.90638742639815;0.9380443524088524;0.677945246833408;2.3907517887251895;0.7227219534902347;2.548655383496372;0.9965219699526006;3.514202206293464;1.3369625801372087;3.5264673657527257;38.114122841467214;0.2764194014868704;34.41744090705362;358.04329280224005
PR003;L2;10;PR-3_Ap29;0.0060079922438740375;0.007067285714894335;1.4150296063274326;1.7592529288570615;1.2701986695529657;0.9036012416231444;0.9243221183208747;0.6819378938439419;2.506660266451381;0.7377708272120022;2.7118903862270276;1.0293047889779026;3.7835079116302626;1.3250491720437068;3.6757896709946114;39.24695463664411;0.2961281623816134;34.92513494735079;238.83524813990078
PR003;L2;11;PR-3_Ap30;0.005974135589656774;0.006621817507717226;1.2382225351960994;1.8374215571131205;1.2641469146195488;0.9068383997579793;0.9554174997171051;0.6904701617245146;2.4044287442515357;0.7226894650024306;2.5166262340426844;1.0297973995727245;3.586070196145642;1.3133636325327434;3.482306517411625;38.02467420315374;0.31936350349607695;34.49572843318454;204.67496905476878
PR003;L2;12;PR-3_Ap31;0.006230514594221662;0.006841635308498048;1.2136027107161043;1.8488060619904738;1.2573513825894613;0.8879893337359107;0.9581636697478886;0.690501664889998;2.4760169731814528;0.7206510606603174;2.584127379650014;1.041489140865087;3.734596049926886;1.286006071943902;3.5858233210428256;42.47860947105615;0.3257270206084432;34.25253212895231;165.8165544140563
PR003;L2;13;PR-3_Ap32;0.00630177668699037;0.0071577794821216815;1.3083224366264723;1.7975214478780506;1.2697217011617916;0.8844170004897794;0.9313613364267527;0.6850514247005696;2.44182960792633;0.7355377530796242;2.621785457934745;1.0543139355839746;3.758046317593684;1.2910227883641743;3.564447163939019;41.99370130975753;0.31144902509937256;35.26055137529678;129.82157281277705
PR003;L2;14;PR-3_Ap33;0.0066607386438633604;0.0075460056231968315;1.300085505661088;1.8029944927270147;1.2890432837200199;0.8974585087159392;0.9374986450311793;0.6915574013722673;2.489536696347416;0.7376622942737879;2.655509647445537;1.0353845508064259;3.727279657406542;1.297735382392119;3.599898853525958;47.59228611817493;0.3328563051809247;34.515468860190595;80.72469004524405
PR003;L2;15;PR-3_Ap34;0.006699535231420123;0.007912191947738262;1.433473821837203;1.7416768011142212;1.2748514218778924;0.881818764113636;0.900308166296791;0.6773832025705435;2.4797863695265288;0.7523903791262966;2.7543750710676713;1.0598586497067282;3.8799648754116105;1.3018019353997818;3.6608323916450836;44.90083506895125;0.288113948808717;34.09349791532473;70.26326645912087
PR006;L1;1;D-II_408_Ap1;0.010862088383830725;0.015128058464042802;1.8793558506729229;1.801594378054346;1.0931233683422938;1.4125186285136433;1.3833571511136078;0.7324989887086268;2.683760791121318;0.5295082243359658;1.9400346388934198;0.9117923914413556;3.340663546999695;1.9283557387620018;3.6638423158135764;15.338510692624586;0.08335255453723302;43.808027893499016;30.98092075937951
