SampleID;Line;Spot;SpotID;Genus;Locality;skeletPart;tissueType;mmThickness;thickClass;mmDist;maxDist;profilePerc
SF002;L1;4;S-2F_Ap4;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;0.872677218;7.127195746;12.24432791101287
SF002;L1;5;S-2F_Ap5;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;1.119224138;7.127195746;15.703569508781106
SF002;L1;6;S-2F_Ap6;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;1.369344581;7.127195746;19.212950363661864
SF002;L1;7;S-2F_Ap7;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;1.619442556;7.127195746;22.722015975341787
SF002;L1;9;S-2F_Ap9;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;2.120004609;7.127195746;29.745283903417572
SF002;L1;10;S-2F_Ap10;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;2.368757193;7.127195746;33.23547265177078
SF002;L1;11;S-2F_Ap11;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;2.634285768;7.127195746;36.96104136719469
SF002;L1;12;S-2F_Ap12;Saurolophus;Altan Uul;radius;Cortex;6.094273793871144;short;2.878028129;7.127195746;40.38093286009771
SF003;L4;11;S-3F_Ap67;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;2.74641411;5.002760532;54.89797267793749
SF003;L4;10;S-3F_Ap68;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;2.499119444;5.002760532;49.95480851051058
SF003;L4;6;S-3F_Ap72;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;1.505054849;5.002760532;30.084487142108124
SF003;L4;5;S-3F_Ap73;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;1.253983279;5.002760532;25.0658265767257
SF003;L4;4;S-3F_Ap74;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;1.053476004;5.002760532;21.05789388201722
SF003;L4;2;S-3F_Ap76;Saurolophus;Altan Uul;rib;Cortex;3.628215143413476;short;0.465827017;5.002760532;9.311399456766962
TF006;L2;1;TF6-L2-1;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;0.109095846;15.2831402;0.7138313499211372
TF006;L2;2;TF6-L2-2;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;0.256355564;15.2831402;1.6773749415712353
TF006;L2;3;TF6-L2-3;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;0.412955846;15.2831402;2.7020353186317037
TF006;L2;4;TF6-L2-4;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;0.576376259;15.2831402;3.7713208899307222
TF006;L2;5;TF6-L2-5;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;0.804099525;15.2831402;5.261350183779641
TF006;L2;6;TF6-L2-6;Tarbosaurus;Nemegt;metatarsal;Cortex;15.802393512063722;mid;1.080967815;15.2831402;7.0729431311504944
