SampleID;Line;Spot;SpotID;Ca;V;Mn;Fe;Cu;Zn;Ga;Rb;Sr;Y;Ba;La;Ce;Pr;Nd;Sm;Eu;Gd;Tb;Dy;Ho;Er;Tm;Yb;Lu;Hf;Th;U
SF001;L1;7;S-1F_Ap7;360000.0;13.380437125970861;1099.64567112384;442.2069713694028;1.603951699292543;20.159826083581233;8.647850479844875;0.2804854709902359;2654.204032737342;1944.1794531854541;109.72828372862148;781.3557756714132;626.4647856504114;55.04163249730078;222.44027566994004;41.32706721953784;12.991764385967553;92.49882419689845;16.243818561552644;133.07094592435908;36.548054681910244;113.08316460610331;14.262812118355066;83.79648938194435;11.96344739642813;0.046629984589870124;0.08030166391501133;1542.578649427092
SF001;L1;8;S-1F_Ap8;360000.0;23.336029226849913;1078.9606420720695;1738.7480247481083;6.189434421298734;24.0336314107371;6.330507886490547;0.2773154340738244;2629.954509736648;1711.407097315578;117.96742376012611;611.6134029355005;427.49428386532884;36.874817425793246;152.10099174775053;27.26630346743573;9.256801841956497;69.60144193302337;12.537461945042761;108.89771228848171;30.721115204624567;100.71602733208884;12.930879303164042;78.92797602602104;11.466402792725884;0.11704079199845781;0.11616557628312554;1536.8275975555841
SF001;L1;10;S-1F_Ap10;360000.0;13.058371293408525;1005.2920638676204;338.3205114727777;1.235203201944054;22.748712290049014;2.802999056077317;0.19185853568283748;2599.001572648599;1273.2209405357323;112.17396531735308;371.23954606116723;197.51066187975758;15.586265574283845;65.7005665018994;11.397575641991244;4.272471646198938;36.7452704044408;7.228722761885207;69.75062242943032;21.834710621856704;74.47391746689934;10.329218047983003;62.99924051023683;9.521275623702351;0.03324320355193585;0.04963335758950013;1431.6838923488147
SF001;L1;11;S-1F_Ap11;360000.0;15.59832207429781;899.9822758876153;621.2684460410622;1.8346088148788036;22.1658087011384;2.3657229814059133;0.2490354268444226;2520.790681262503;1238.0098786193173;105.48776497273407;324.36947184371695;148.65472053880018;11.921152961355764;48.634869253586075;7.913596313596527;3.3679736372043263;30.061279093863277;6.185016437666267;62.389802309884814;20.638586625709305;72.11481387937758;10.03185717331856;63.556088087953874;9.614030179328848;0.05399806715372762;0.08237864510840506;1544.2962951662198
SF001;L1;12;S-1F_Ap12;360000.0;12.450804849458848;919.7659802173565;320.22203526614777;1.086996569533319;22.287812037594332;1.3920105399928175;0.17790331965727837;2543.7843809721903;1004.3388637797524;109.76597635622696;216.01984943495776;88.9364639337013;6.6456134209364235;28.124985955863796;4.271265854763809;2.0087165981142228;19.143311736606375;4.170902259000975;45.37435513046422;15.98649465494334;57.97581646056324;8.280792148506693;53.426119781810925;8.33052515357823;0.0523380684295883;0.037167644188152105;1037.2160167702639
SF002;L1;1;S-2F_Ap1;360000.0;19.82510128694753;2596.235433817954;1001.7855389398392;1.118818700978145;27.955447901967503;57.200100337966845;0.6027820820220481;3027.9133973333064;3414.741935681269;128.69731949986667;3050.094461037409;3432.8722624679253;564.5082837096185;2198.1146610310234;400.3372822241943;90.1099010418344;470.7908071636813;64.51143889466248;390.4379536728629;83.26380574279872;216.11377778492016;24.179844314367863;127.45055967383678;16.904135268035724;0.1784716528509354;35.15095322452478;1010.8644225279075
SF002;L1;2;S-2F_Ap2;360000.0;17.228923871467433;2031.9923298495587;1267.2031637075522;2.5465945037738487;32.43905012664408;49.367862782109704;0.5703405911513358;2918.8842713428503;3331.6756709985816;111.07725011840695;2792.540279960664;2915.1730268270926;453.1948307930118;1813.860737157139;332.4425531666957;76.351080236871;412.4434226974185;58.19895303156575;365.1502018340488;78.39607435040286;205.08570801846685;22.790859164721113;119.85042967450113;16.37006182249305;0.11805095990601934;2.150277500286019;1177.8363291755757
SF002;L1;3;S-2F_Ap3;360000.0;29.839249573888562;1425.381653230865;2767.292988159009;6.899505694803274;23.745474893884;35.68807493551056;0.45484347288054655;2343.608882895046;2899.2183962077265;92.04547282606117;2109.7162141591866;2216.6958870456824;312.8277748730259;1260.4767975641387;226.42796646295807;54.534801501626454;306.4991464232894;44.728072329483695;288.3187964558843;64.98220401320569;170.4473703798736;19.41723347580583;102.67430766160643;14.079462022616715;0.1364142920649431;0.3906486927512767;1344.3592863435717
SF002;L1;4;S-2F_Ap4;360000.0;14.426546912176647;1780.6510395545906;883.1074434865255;1.8589989110492051;19.895840897280387;30.58504418786238;0.4274740074809979;2825.3087855512563;2798.946329361889;121.46234109428248;1886.0440457326645;2035.3751287233392;253.4843552263728;1018.2113856596977;187.5775517001117;45.94932582197047;266.73194843950256;39.94236916549964;267.1240218565495;60.08152048058849;169.47684554622967;19.650384308339948;105.05962485346076;14.693312487531022;0.07971451846432602;0.22908891142704652;1312.7181977187245
SF002;L1;5;S-2F_Ap5;360000.0;16.509422646250798;1679.9978575659968;1030.6357862822058;2.1963995842368904;22.39265680724792;24.797438368197717;0.4557788343022612;2752.962670967538;2682.1529963333446;116.96251945995965;1604.4393309819075;1653.5543749523126;189.83602276728553;752.535779704952;140.58872225918438;36.90872348309305;222.54745185150315;34.372397175601;236.94421646951852;56.8627695442343;160.48859597894244;18.741518421199153;103.2099683698122;14.35677314399176;0.10187590414914402;0.1838028837404623;1364.9118364071219
SF002;L1;6;S-2F_Ap6;360000.0;37.11860230802766;1655.7649869807908;4170.748851431752;11.537071294871568;18.18957828282704;20.367806796478032;0.4511608343368539;2890.006845256898;2495.2037204533876;129.30659808091454;1382.71058003472;1366.745540651614;137.50668184973836;584.0550765121824;110.02753747045402;29.285572108367642;181.4775353922224;28.626274709927703;210.81543267320046;51.037324438741706;146.71394950186792;17.891942869901516;99.7226137143908;13.968818384626752;0.2802486601143527;0.12418812025477173;1328.288344733766
SF002;L1;7;S-2F_Ap7;360000.0;14.140026225526778;1306.557006300734;634.0470461174094;1.9266506503225715;17.46447921176865;16.861409705234138;0.38941360422960203;2629.0687047088322;2516.8359435065295;116.84011141160853;1246.377631447733;1197.3307345408346;116.80065996053096;472.03973083177124;91.22011928628523;25.421031978709912;165.0383115471015;26.680123565201814;194.4429497076378;50.02134466569424;147.79717765260904;17.781842452668563;100.4859931571742;14.078633234544768;0.06620735300845015;0.11453247319531329;1367.6382600841578
